"RelativePath","FullPath","Extension","AuthorityTier","LengthBytes","Sha256"
".github\ISSUE_TEMPLATE\automation_request.yml","G:\s43_work\s43_g11_work\.github\ISSUE_TEMPLATE\automation_request.yml",".yml","CI","1300","74dc5599e14b3aa325593498e68c3d63dda177dc2a86843e49e7f1b40114ec55"
".github\ISSUE_TEMPLATE\bug_report.yml","G:\s43_work\s43_g11_work\.github\ISSUE_TEMPLATE\bug_report.yml",".yml","CI","1392","1c386ab651ce4744e28e6dad97ca6b5c976f0b638b2543166b77e754073d8675"
".github\ISSUE_TEMPLATE\config.yml","G:\s43_work\s43_g11_work\.github\ISSUE_TEMPLATE\config.yml",".yml","CI","45","e71bea835ed1158881306294d96968f125b0b0c5eff66cd94df559336bd0b210"
".github\ISSUE_TEMPLATE\documentation_request.yml","G:\s43_work\s43_g11_work\.github\ISSUE_TEMPLATE\documentation_request.yml",".yml","CI","1038","aef2e5ab74ffcbb55da24bb5e17346ee2005d7a4d191e8d9ff9a0b5161d8a355"
".github\pull_request_template.md","G:\s43_work\s43_g11_work\.github\pull_request_template.md",".md","CI","623","92bef883271e067ae45d38d0be4d7b08e6fb8b42ac01a1aac507a753a4983598"
".github\scripts\enforce-roadmap-authority.ps1","G:\s43_work\s43_g11_work\.github\scripts\enforce-roadmap-authority.ps1",".ps1","CI","4415","e89e3289b10032052392d17d0f66ba3e39ddb761c078b4320aae22584e260886"
".github\scripts\governance-guard.ps1","G:\s43_work\s43_g11_work\.github\scripts\governance-guard.ps1",".ps1","CI","3047","66a2646f3c06c3c2d6db009ad380cffccf87e9644af8342bba06a82778e9dbfb"
".github\workflows\artifact-retention-gate.yml","G:\s43_work\s43_g11_work\.github\workflows\artifact-retention-gate.yml",".yml","CI","2634","233a48160110e57b7796b119ac8b97e737502ecd2f8b35c57cf8511eb0cee8b3"
".github\workflows\artifact-retention-scheduled-audit.yml","G:\s43_work\s43_g11_work\.github\workflows\artifact-retention-scheduled-audit.yml",".yml","CI","1430","db12c013f6ebc5b88526898d31a073557ca0c7c1c779ae9b2553af68121a59a6"
".github\workflows\autopilot-pr-create.yml","G:\s43_work\s43_g11_work\.github\workflows\autopilot-pr-create.yml",".yml","CI","3891","5b71e04042515c5ad34d1b562391a084e15de75e15eab906641cd5c7c125a99b"
