"path","size","sha256","secretLike"
".ai/init.ps1","2096","33416d8c99e2534a0363905d4d1e1f5ad777c3b266c0052fc0f67eb441da9da6","False"
".ai/verify-context.ps1","868","8b8c35fa04a562ccdc801519176c237175cfab7588b32b4bd47ba420e7497125","False"
".backup_workflows_20260628_083246/operational-roadmap.yml.bak","999","03f5e6bddf8a2b9e569592b5b04b408bf919633e42d1aeb2d289701de3878474","False"
".backup_workflows_20260628_083246/operational-roadmap-enforcement.yml.bak","1101","8fafdb7098ebed431c22edbd8794d88e42f9df8827e3f4f8a9e3825ec733a095","False"
".backup_workflows_20260628_083246/operational-roadmap-smoke-test.yml.bak","437","ed6e90350519b2b7e40a54027cea2b07cc898a5afa17011f258dcc89df6ad3ff","False"
".claude/settings.local.json","150","9b702f9eb100f97cc5d4eebae4f18cdd2fb4bc0bccaf4fe7091c7650c6428110","False"
".editorconfig","287","0f61c599e83ba361f4b0363f00849fa17e1b8c2244404a8e11870d6db8c91b87","False"
".git/COMMIT_EDITMSG","44","b8540c9cb4a1e5c775cd01d17beba5504d670b51ee9215e2f5721571d6bf4b7f","False"
".git/config","862","35b2b08dfcc27f3659ab8940f92457dbc73db23e21dbe8a4832d576a8fc3ef0c","False"
".git/description","73","85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee","False"
".git/FETCH_HEAD","2289","1bf487288abc15ceff5039902f78170947f51545414d3cff82d404f9f2dc7858","False"
".git/HEAD","21","28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80","False"
".git/hooks/applypatch-msg.sample","478","0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7","False"
".git/hooks/commit-msg.sample","896","1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437","False"
".git/hooks/fsmonitor-watchman.sample","4726","e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0","False"
".git/hooks/post-update.sample","189","81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5","False"
".git/hooks/pre-applypatch.sample","424","e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475","False"
".git/hooks/pre-commit.sample","1643","f9af7d95eb1231ecf2eba9770fedfa8d4797a12b02d7240e98d568201251244a","False"
".git/hooks/pre-merge-commit.sample","416","d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53","False"
".git/hooks/prepare-commit-msg.sample","1492","e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619","False"
".git/hooks/pre-push.sample","1374","ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a","False"
".git/hooks/pre-rebase.sample","4898","4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3","False"
".git/hooks/pre-receive.sample","544","a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989","False"
".git/hooks/push-to-checkout.sample","2783","a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f","False"
".git/hooks/sendemail-validate.sample","2308","44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92","False"
".git/hooks/update.sample","3650","8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106","False"
".git/index","135953","3fee0725ae2940fe1575911b7dece16a344cd3c294fb7dd947e6711f57461031","False"
".git/info/attributes","59","baf3476e0758becae5b744214c4db1c4d92f449b296d1d58e861849dc09b951f","False"
".git/info/exclude","270","0297279dd935b937aaf690575aea1da5dc08e8dc6835f97d072634aeb877981c","False"
".git/info/refs","12405","52f1f11983717adc7efacfb11c2e2acd6d5854c46fa98bcca86fdaa93f2f0ed4","False"
".git/logs/HEAD","346200","73d40ddc3f5243790017a5e5ec5daa7122e8691773a33b6d4aa40aacb0eafcfe","False"
".git/logs/refs/heads/automation/asoctl-safe-merge-baseline","529","2e2f0717cbafd96f0899f5fdb7c1b56dba5dcffba448c63bd5bd7f9acc2864dc","False"
".git/logs/refs/heads/governance/authority-reconciliation-single-voice","3179","f5292f194a1ae918c24f43c8d379cce2962d0793341399d96c444466121f18f7","False"
".git/logs/refs/heads/main","69887","7168ef9ce77f27405ab408ab2afb0c3126df2140b2d067c5fff0c1b0af6faf63","False"
".git/logs/refs/heads/main-clean","162","d77c06d8d600e7138e3b27f749f2d904f771d4dafdd9c0c279d1a27393679b3d","False"
".git/logs/refs/heads/release/v3.2.1-evidence-ledger-repair","162","d412486b2f3a0d3a49fd765c3b6cf86b33be46c25bdf7b268ce15be757d391fd","False"
".git/logs/refs/remotes/origin/auto/aso-x-20260626-063732","625","10aa08391c0e877fae6162d54fdf2d922f5e100ca018fd6f4e1bcc335bd2689f","False"
".git/logs/refs/remotes/origin/cp003-b-integration-planning","163","f9df757980bd75ca65844507d23e6096fec687d9d67511050cfba7f1bdb8702e","False"
